positionName,salary,company,rating,reviewsCount,jobTypeConsolidated
Pricing Analyst,"£70,000 - £85,000 a year",Urban Empire Recruitment,,,"Permanent, Full-time"
Lead AI / ML / Data Science Engineer,"£150,000 a year",Founding Teams,,,Part-time
Data Scientist,,Depop,4.4,34.0,Permanent
Research Fellow in data analysis and machine learning,,UCL,4.1,256.0,"Permanent, Full-time"
Senior Data Scientist | Media & Entertainment.,"£70,000 a year",Nicholson Glover Consulting,,,Permanent
Data Scientist,,Mars,3.8,2221.0,Full-time
Senior Data Scientist,,Atlas Technology Solutions,,,
Junior Data Scientist,,Bip Solutions,2.5,18.0,Graduate
Lead Statistician - Health Economic Modelling HEOR Evidera,,Thermo Fisher Scientific,3.4,4757.0,Full-time
"Lead Data Scientist, Medical Imaging",,Novo Nordisk,4.1,1091.0,
Lead Data Scientist,,Faculty,,,Full-time
Machine Learning Engineer - Life Sciences,,Faculty,,,Full-time
Researcher - Food Engineering – Computer vision and machine learning,"£30,487 - £37,099 a year",Sheffield Hallam University,4.1,136.0,Part-time
Packaging Waste Data Scientist,"£39,439 - £47,039 a year","Department for Environment, Food and Rural Affairs",3.8,88.0,"Permanent, Part-time, Full-time"
Data Scientist Degree Apprenticeship,,Victrex,4.1,9.0,Apprenticeship
Senior Machine Learning Engineer (Trust and Safety) (Remote - UK),,Yelp,3.3,835.0,Full-time
Data Scientist,,Domestic & General Group,2.9,459.0,Full-time
Data Scientist,"£42,099 - £50,585 a year",UCL,4.1,256.0,"Part-time, Fixed term contract"
NLP Data Scientist,"£3,090 a month",EUROPEAN MOLECULAR BIOLOGY LABORATORY,4.5,6.0,
Data Scientist,"£30,732.48 - £32,160.39 a year",Global M,,,Full-time
Data Scientist,,Axiom Software Solutions,,,
Associate Data Scientist,,Popsa,5.0,2.0,Full-time
Data Scientist,,Places for People,3.1,256.0,Permanent
Data Scientist,,NJR Recruitment,,,
Senior Analytics Manager,£600 - £800 a day,SF Recruitment,4.0,65.0,Temporary contract
Senior Data Scientist,"£60,000 - £70,000 a year",MBN Recruitment Solutions,,,Permanent
Research Fellow Data Science/ Medical Statistics,"£37,099 - £44,263 a year",University of Leeds,4.2,271.0,"Full-time, Fixed term contract"
Statistician/Analyst in Digital Health Research: Remote Monitoring of Rheumatoid Arthritis (REMORA2),"£36,024 - £44,263 a year",University of Manchester,4.2,323.0,Fixed term contract
Bioinformatics Scientist (Data Integration),,Cranleigh Recruitment,,,Permanent
Director of Strategy & Analytics (Data),,Gumtree & Motors,,,Permanent
Research Assistant in Data Science,"£31,396 a year",University of Lincoln,4.0,96.0,"Part-time, Fixed term contract"
Responsible AI Governance and Policy - Manager,,Accenture,4.0,25578.0,Full-time
AI and Automation Manager (Digital Innovation for Student Success),"£43,205 - £50,585 a year",King's College London,4.0,195.0,Full-time
Senior Data Scientist,£500 - £650 a day,Metrica Recruitment,,,Full-time
Applied AI ML - Sr. Associate - Machine Learning Engineer,,JPMorgan Chase & Co,3.9,19040.0,Full-time
ML Engineer (CompChem Department (Chemistry42) - UAE),,Insilico Medicine,,,
Product Data Scientist,,Allen Recruitment Consulting,,,Temporary contract
Product Analyst - Real-Time Payments Risk AI & Analytics,,Visa,3.9,1118.0,Permanent
Senior Data Scientist,,Places for People,3.1,256.0,Permanent
Senior Data Scientist,"£48,350 - £54,395 a year",University of Bristol,4.1,162.0,Full-time
Data Scientist,,NJR RECRUITMENT LTD,,,"Permanent, Full-time"
Data Scientist,£500 - £600 a day,Trust In Soda,,,
Data Scientist/Bioinformatician,"£32,332 - £36,024 a year",University of Glasgow,4.1,175.0,Full-time
"Research Support Assistant (machine learning, computer vision)","£32,982 - £37,099 a year",University of Bristol,4.1,162.0,"Part-time, Full-time, Fixed term contract"
Senior Pricing Analyst,,Wrisk,,,Full-time
Responsible AI Governance and Policy - Senior Manager / Associate Director,,Accenture,4.0,25578.0,Full-time
Machine Learning Algorithm Developer,"£35,000 - £55,000 a year",Cirrus Selection,5.0,2.0,Full-time
Data Validation Scientist (CU9/IoA) (Fixed Term),"£32,982 - £33,966 a year",University of Cambridge,4.2,183.0,Fixed term contract
Applied AI ML Lead - Senior Machine Learning Engineer,,JPMorgan Chase & Co,3.9,19040.0,Full-time
Senior Data Scientist,"£65,000 - £70,000 a year",Broster Buchanan,,,Full-time
Machine Learning Engineer,,marshmallow,3.5,4.0,Full-time
"Data Science Instructor (Advanced Data Fellowship Level 6), UK",,Multiverse,3.8,4.0,Full-time
"Director, TEAL Analytics",,Expedia Group,3.9,1135.0,Full-time
Data Engineer/Data Scientist,,IT Labs,4.3,4.0,
Machine Learning Consultant | Hybrid,"£50,000 - £80,000 a year",Reqiva,,,Full-time
"Head of Data Science, Product",,Trainline,4.4,12.0,Permanent
Senior Data Analytics Auditor,"£60,000 - £65,000 a year",Apollo Solutions,,,Permanent
Science Undergraduate Intern - Generating machine learning benchmark datasets,"£19,582 a year",Royal Botanic Gardens Kew,3.8,38.0,"Full-time, Fixed term contract"
Research Fellow in Data Science - Dumfries,"£39,977 - £43,731 a year",SCOTTISH AGRICULTURAL COLLEGE,1.9,9.0,"Full-time, Fixed term contract"
Machine Learning Engineer II,,Expedia Group,3.9,1135.0,Full-time
Senior Data Scientist,,Hastings Direct,3.3,381.0,Full-time
Data Science Computing Lab Manager,"£50,606 - £58,505 a year",London School of Economics and Political Science,4.0,60.0,Fixed term contract
Senior Data Scientist,,The AA,3.0,666.0,Full-time
Statistician,"£32,858 - £38,272 a year",Department for Business and Trade,3.8,37.0,"Permanent, Part-time, Full-time"
Senior Data Scientist - Pricing,,Direct Line Group,3.3,739.0,Full-time
Data and Analytics Business Partner - Mission Systems,,Babcock International,3.6,1056.0,Full-time
"(EG) ARC Research Data Scientist (Assistant, Senior and Principal roles)","£34,605 - £43,205 a year",UCL,4.1,256.0,"Permanent, Full-time"
Lead Data Scientist,,SEVERN TRENT,3.6,438.0,Full-time
Research Scientist for Computational Social Science - AI Safety Institute,"£85,000 - £115,000 a year","Department for Science, Innovation & Technology",,,"Part-time, Full-time, Temporary contract"
